subj,type,obj
C1709767,ISA,C0036397
C0009170,TREATS,C0040128
C1413336,AFFECTS,C0040649
C0040135,ASSOCIATED_WITH,C0012634
C0014563,ISA,C0007412
C0041485,ISA,C0002520
C0041485,PART_OF,C0002520
C0021968,AUGMENTS,C0596715
C0002598,ISA,C0013227
C0002598,ADMINISTERED_TO,C0871489
C0002598,TREATS,C3842523
C0600140,PROCESS_OF,C0015576
C0228176,LOCATION_OF,C0038454
C0004238,CAUSES,C0038454
C0018787,LOCATION_OF,C0019247
C0013227,TREATS,C0019247
C0012155,CAUSES,C0020676
C1328840,PROCESS_OF,C0241315
C0021968,CAUSES,C0010308
C2348268,CAUSES,C0018021
C0205156,ISA,C1274040
C0040160,ISA,C0032015
C0040160,INTERACTS_WITH,C0040135
C1285092,LOCATION_OF,C0018021
C0229666,LOCATION_OF,C0021966
C0040128,PROCESS_OF,C0030705
C0006222,ISA,C0022023
C0008173,ISA,C0022023
C0032105,LOCATION_OF,C0021966
C0040160,STIMULATES,C0021966
C0021966,AFFECTS,C0040132
C0021968,ADMINISTERED_TO,C0027361
C0040132,PART_OF,C0027361
C0021968,DISRUPTS,C0040132
C0040132,LOCATION_OF,C0474395
C0225338,PART_OF,C1182695
C0007634,PART_OF,C1182695
C0205148,LOCATION_OF,C0007634
C0040123,ISA,C0017968
C0007634,LOCATION_OF,C0040123
C1527250,PART_OF,C1571705
C0040123,COEXISTS_WITH,C0033684
C0021996,PART_OF,C0040165
C1285092,LOCATION_OF,C0040135
C0229671,LOCATION_OF,C0040123
C0040135,INTERACTS_WITH,C0206588
C0221284,LOCATION_OF,C0041016
C0040648,PART_OF,C0015576
C0597519,AFFECTS,C0017262
C0034843,INTERACTS_WITH,C0012854
C0596448,INTERACTS_WITH,C0012854
C0040135,INTERACTS_WITH,C0017428
C0040135,AUGMENTS,C0870882
C0014442,STIMULATES,C0001473
C0040300,LOCATION_OF,C0040135
C1457887,COEXISTS_WITH,C0020550
C0020676,PROCESS_OF,C0030705
C0018787,LOCATION_OF,C0040135
C0040135,STIMULATES,C0596235
C0040135,AFFECTS,C0425560
C0013931,CAUSES,C0038454
C0040162,AFFECTS,C0596715
C0205054,LOCATION_OF,C0935624
C0007634,LOCATION_OF,C0030956
C0019932,DISRUPTS,C2611225
C0032008,PART_OF,C0086418
C0032008,PRODUCES,C0312438
C0034800,ISA,C0597357
C0597357,STIMULATES,C0086376
C0014442,PART_OF,C0175996
C0034844,STIMULATES,C0001492
C0034844,STIMULATES,C0031669
C0001492,STIMULATES,C0010531
C0031669,AUGMENTS,C0020291
C0043791,STIMULATES,C0033634
C0031727,AUGMENTS,C0037083
C0597357,CAUSES,C0020676
C1533685,TREATS,C0011900
C0229664,LOCATION_OF,C0040135
C0017710,ASSOCIATED_WITH,C0010481
C0014939,AUGMENTS,C2611225
C0034844,AFFECTS,C0040132
C0004364,PRODUCES,C0004358
C0004358,STIMULATES,C0034844
C0018213,PROCESS_OF,C0030705
C0003241,AUGMENTS,C0596715
C0022107,PROCESS_OF,C0008059
C0235108,PROCESS_OF,C0008059
C0221074,PROCESS_OF,C0242664
C0543467,TREATS,C0724000
C0848106,TREATS,C0002871
C0262402,PROCESS_OF,C0043210
C0342114,PROCESS_OF,C0043210
C0020550,PROCESS_OF,C0030705
C0020550,ISA,C0011900
C0002892,PROCESS_OF,C0337514
C1334545,PREDISPOSES,C0004368
C0032961,AFFECTS,C2242456
C1457887,ASSOCIATED_WITH,C0004364
C0018213,CAUSES,C0020550
C0018213,ISA,C0015397
C0018213,ISA,C0004364
C0034844,ASSOCIATED_WITH,C0018213
C0015397,COEXISTS_WITH,C0018213
C0034844,ASSOCIATED_WITH,C0004364
C1278884,LOCATION_OF,C0015397
C0015392,LOCATION_OF,C0034844
C0015392,LOCATION_OF,C0597357
C1278884,LOCATION_OF,C0012634
C0003241,STIMULATES,C0017973
C0043047,AUGMENTS,C0015392
C0039194,PRODUCES,C0079189
C0008466,ASSOCIATED_WITH,C0015397
C0008466,CAUSES,C0013604
C0008466,ISA,C0017973
C0020196,ASSOCIATED_WITH,C0015397
C0020196,CAUSES,C0013604
C0020196,ISA,C0017973
C0017973,CAUSES,C0013604
C0017973,ASSOCIATED_WITH,C0015397
C3687832,ISA,C0087111
C0543467,TREATS,C0020550
C0087111,USES,C0013227
C0013227,DISRUPTS,C0596715
C0006983,ISA,C0039958
C3668831,PROCESS_OF,C0043210
C0040165,PART_OF,C0871685
C0040808,TREATS,C0030705
C0018213,PROCESS_OF,C0030705
C0021968,DISRUPTS,C0596715
C0021968,COEXISTS_WITH,C0006983
C0021968,COEXISTS_WITH,C0136082
C0021968,COEXISTS_WITH,C0301380
C0087111,USES,C0021968
C0087111,USES,C0310367
C0030705,ISA,C0027361
C0022262,CAUSES,C1848783
C0022262,ADMINISTERED_TO,C0871685
C0040165,TREATS,C0030705
C0027530,LOCATION_OF,C0018021
C0020550,PROCESS_OF,C0030705
C0543467,TREATS,C0020550
C0543467,TREATS,C0030705
C0030518,PART_OF,C0023078
C0030518,PART_OF,C0042276
C0030518,PART_OF,C0162859
C0030518,PART_OF,C1269025
C0040132,PART_OF,C0030518
C0040113,PART_OF,C0447650
C0447651,PART_OF,C0447650
C0796494,PART_OF,C0040132
C0040408,LOCATION_OF,C0266283
C0543467,COEXISTS_WITH,C0185115
C0022122,LOCATION_OF,C0030193
C0022742,LOCATION_OF,C0030193
C0015811,LOCATION_OF,C0014571
C0443146,COEXISTS_WITH,C0677607
C1262091,CAUSES,C0018021
C0018213,ISA,C0020550
C0020550,COEXISTS_WITH,C0018213
C0004258,COEXISTS_WITH,C0020676
C0027145,COEXISTS_WITH,C0020676
C0597357,ASSOCIATED_WITH,C0018213
C0677607,COEXISTS_WITH,C0018021
C0523376,DIAGNOSES,C0020676
C0014571,PROCESS_OF,C0334891
C1624602,ASSOCIATED_WITH,C0020676
C0040165,TREATS,C0700502
C0271791,CAUSES,C0238298
C0038633,ISA,C0013227
C0023884,LOCATION_OF,C1623038
C0020676,PROCESS_OF,C0030705
C0021368,CAUSES,C0012634
C0021368,CAUSES,C0040147
C0040147,ISA,C0012634
C0026946,CAUSES,C0001360
C0007634,LOCATION_OF,C0040135
C0040147,ISA,C0021368
C0004368,CAUSES,C0020676
C0029126,LOCATION_OF,C0836913
C0020635,CAUSES,C3665349
C3665349,PROCESS_OF,C0030705
C0700502,PROCESS_OF,C0030705
C0032005,LOCATION_OF,C0040135
C0014442,INTERACTS_WITH,C0040135
C0020676,COEXISTS_WITH,C1627769
C0005615,PROCESS_OF,C0027767
C0033684,AFFECTS,C0520983
C0019932,CAUSES,C0014130
C0339789,COEXISTS_WITH,C0271829
C0040135,COEXISTS_WITH,C3814410
C0018021,PROCESS_OF,C0008059
C0018270,PROCESS_OF,C0008059
C0040165,AUGMENTS,C0018270
C0311392,PROCESS_OF,C0030705
C1457887,PROCESS_OF,C0030705
C0046882,INTERACTS_WITH,C0034843
C0040135,COEXISTS_WITH,C0043047
C0025519,PRODUCES,C0040123
C0040135,INTERACTS_WITH,C3814864
C1516559,COEXISTS_WITH,C0014653
C0023895,COEXISTS_WITH,C0022658
C1260969,USES,C0041485
C0015733,LOCATION_OF,C0812407
C2986608,TREATS,C0231218
C1550100,LOCATION_OF,C0040135
C0040135,AFFECTS,C0032005
C0007634,LOCATION_OF,C0597357
C0018284,AFFECTS,C2242456
C0079189,AFFECTS,C2242456
C0079189,CAUSES,C0004366
C0040132,PRODUCES,C0079189
C1519513,LOCATION_OF,C0037657
C1515441,LOCATION_OF,C3875007
C1281592,LOCATION_OF,C0577559
C0014935,TREATS,C0011168
C0014935,TREATS,C0600142
C0014939,AUGMENTS,C0017982
C0033684,DISRUPTS,C0025519
C0017473,LOCATION_OF,C0034844
C0007115,PART_OF,C1515441
C0007115,ISA,C0027651
C0027627,PART_OF,C1515441
C0027651,PART_OF,C1515441
C0007634,LOCATION_OF,C0206693
C0007634,PRODUCES,C0006668
C0333386,COEXISTS_WITH,C0677607
C1261473,ISA,C0027651
C1285092,LOCATION_OF,C1261473
C1135918,LOCATION_OF,C1261473
C0014597,PART_OF,C1515441
C0014597,LOCATION_OF,C0677930
C0007634,LOCATION_OF,C1368683
C0027651,PROCESS_OF,C0043210
C1333132,ISA,C0027651
C3875007,PROCESS_OF,C0683971
C0007115,PROCESS_OF,C0027361
C0007634,PART_OF,C0005847
C0007634,PART_OF,C0229889
C0006826,ISA,C0012634
C0040137,ISA,C0012634
C0028259,LOCATION_OF,C0334590
C0028259,LOCATION_OF,C1337013
C3272281,PROCESS_OF,C0030705
C1337013,PROCESS_OF,C0030705
C0229671,LOCATION_OF,C0040123
C1510483,ADMINISTERED_TO,C0030705
C0033131,TREATS,C0030705
C0040132,LOCATION_OF,C2826292
C0234254,PROCESS_OF,C0015576
C0234254,PROCESS_OF,C0033131
C0015392,PART_OF,C0237433
C0162429,CAUSES,C0018021
C0007634,LOCATION_OF,C0021966
C0020281,INTERACTS_WITH,C0021966
C0040132,LOCATION_OF,C1441129
C0030705,LOCATION_OF,C0022262
C0036098,LOCATION_OF,C0021968
C0796494,LOCATION_OF,C1334045
C0796494,LOCATION_OF,C1333077
C0005767,LOCATION_OF,C0021966
C0597357,CAUSES,C3245470
C0001492,STIMULATES,C0031669
C0596235,STIMULATES,C0033634
C0041182,CAUSES,C2362538
C0232478,PROCESS_OF,C0030705
C0858451,USES,C0034844
C0017973,CAUSES,C0424810
C0043047,CAUSES,C0424810
C0029180,LOCATION_OF,C0441633
C0018787,LOCATION_OF,C0035204
C0205054,LOCATION_OF,C0004096
C0015397,PROCESS_OF,C0030705
C0033497,DISRUPTS,C0004096
C0015230,PROCESS_OF,C0030705
C3280118,PROCESS_OF,C0030705
C0238242,PROCESS_OF,C0871685
C0021966,CAUSES,C0020676
C1510438,USES,C0359168
C1550100,LOCATION_OF,C0003241
C0003241,CAUSES,C0853041
C0014442,CAUSES,C0853041
C1510438,DIAGNOSES,C0442893
C1704258,PROCESS_OF,C0870668
C0231218,PROCESS_OF,C0030705
C0019693,PROCESS_OF,C0030705
C0013227,TREATS,C0231218
C0221423,PROCESS_OF,C0030705
C0021968,PART_OF,C0030705
C0279175,PART_OF,C1285092
C0279175,INTERACTS_WITH,C0040135
C0041485,INHIBITS,C0040123
C0023870,INTERACTS_WITH,C0017649
C0009002,STIMULATES,C0014939
C0060161,ISA,C0003211
C0040135,INTERACTS_WITH,C0032120
C0032120,INTERACTS_WITH,C3814864
C0019932,INTERACTS_WITH,C0032120
C0020550,COEXISTS_WITH,C0020676
C0006104,LOCATION_OF,C0020550
C0032043,LOCATION_OF,C0020550
C0032105,LOCATION_OF,C0017649
C0229671,PART_OF,C0030705
C0003241,INTERACTS_WITH,C0017649
C0019932,INTERACTS_WITH,C0017649
C0011946,METHOD_OF,C0185115
C1441554,METHOD_OF,C1510438
C0014597,LOCATION_OF,C0040136
C0014597,LOCATION_OF,C0007115
C0027651,CAUSES,C0024299
C0260037,COEXISTS_WITH,C0007115
C0677930,COEXISTS_WITH,C0027627
C0018284,PART_OF,C0007115
C0021665,ASSOCIATED_WITH,C0027651
C0597357,AFFECTS,C3537152
C0027651,PROCESS_OF,C0030705
C1511695,PROCESS_OF,C0030705
C1514850,AFFECTS,C0206693
C0206693,PART_OF,C1515441
C0751984,AFFECTS,C1516359
C0079419,ISA,C0079427
C0034677,ASSOCIATED_WITH,C0205647
C0079419,ASSOCIATED_WITH,C0205647
C0079419,ASSOCIATED_WITH,C1332287
C0007115,PROCESS_OF,C0030705
C0221093,TREATS,C0028259
C0181839,TREATS,C0011900
